date,average_speed,average_watts,distance,total_elevation_gain,type,time_min
2016-09-22,23.18,139.1,45.73,743.6,Ride,284
2016-09-21,26.18,122.6,23.01,59.6,Ride,53
2016-09-21,10.38,0.0,10.75,13.6,Run,79
2016-09-20,25.77,193.0,124.04,2250.4,Ride,367
2016-09-18,9.13,0.0,8.01,161.0,Run,59
2016-09-17,9.65,0.0,15.18,127.6,Run,108
2016-09-14,9.93,0.0,16.01,91.5,Run,124
2016-09-11,19.23,165.8,65.46,2007.4,Ride,279
2016-09-07,11.88,0.0,6.93,44.7,Run,44
2016-09-07,9.49,0.0,2.63,14.5,Run,22
2016-09-04,25.06,187.7,137.94,2383.0,Ride,364
2016-09-04,23.98,156.1,91.87,1563.2,Ride,295
2016-09-02,29.85,164.5,50.22,420.2,Ride,102
2016-09-01,23.9,135.1,83.59,999.0,Ride,226
2016-08-31,10.57,0.0,14.0,46.9,Run,109
2016-08-30,9.51,0.0,7.77,32.5,Run,69
2016-08-28,26.09,173.8,100.82,1734.6,Ride,258
2016-08-27,25.95,138.3,68.54,495.6,Ride,197
2016-08-26,10.48,0.0,18.01,0.0,Run,107
2016-08-25,21.96,144.0,78.55,1569.2,Ride,234
2016-08-24,11.43,0.0,8.18,26.0,Run,71
2016-08-23,24.42,111.2,47.48,499.9,Ride,123
2016-08-22,22.22,127.3,69.16,1187.3,Ride,219
2016-08-19,9.95,0.0,12.01,180.5,Run,124
2016-08-16,9.53,0.0,6.29,61.8,Run,47
2016-08-15,10.41,0.0,7.11,42.3,Run,80
2016-08-12,22.32,127.4,115.44,1383.7,Ride,401
2016-08-11,23.51,198.2,11.43,303.9,Ride,61
2016-08-11,23.23,104.5,25.24,171.6,Ride,89
2016-08-07,21.0,150.8,81.67,1573.1,Ride,341
2016-08-05,10.05,0.0,4.38,66.5,Run,26
2016-08-05,22.3,118.3,52.78,444.8,Ride,157
2016-08-01,20.0,172.1,43.08,1199.2,Ride,143
2016-07-29,21.76,118.8,76.57,1149.0,Ride,234
2016-07-28,22.58,101.7,34.75,378.4,Ride,103
2016-07-27,27.77,139.8,23.82,71.0,Ride,53
2016-07-27,26.01,149.0,64.31,898.3,Ride,150
2016-07-24,20.07,143.2,107.64,2213.3,Ride,443
2016-07-24,22.32,127.3,69.17,810.4,Ride,197
2016-07-23,10.26,0.0,8.07,162.1,Run,53
2016-07-22,9.23,0.0,9.57,69.6,Run,66
2016-07-17,20.93,173.1,105.2,2852.7,Ride,470
2016-07-16,20.65,127.7,103.64,1704.4,Ride,482
2016-07-16,22.22,154.2,70.08,1301.6,Ride,197
2016-07-15,9.9,0.0,12.08,212.3,Run,85
2016-07-11,19.25,161.8,35.65,1070.8,Ride,120
2016-07-10,22.4,143.5,63.56,866.3,Ride,180
2016-07-08,20.89,150.2,133.06,2853.8,Ride,474
2016-07-07,25.59,147.6,109.19,874.7,Ride,273
2016-07-05,25.06,122.0,61.62,654.5,Ride,152
2016-07-02,22.65,100.8,28.27,326.7,Ride,77
2016-07-01,25.26,143.3,75.85,1155.8,Ride,192
2016-06-29,8.34,0.0,17.62,573.1,Run,147
2016-06-28,24.15,129.9,46.14,414.3,Ride,119
2016-06-27,23.16,133.0,116.9,1868.5,Ride,338
2016-06-25,22.95,103.1,58.11,306.3,Ride,157
2016-06-23,23.41,149.5,86.15,1329.8,Ride,235
2016-06-20,18.01,154.2,62.27,1806.6,Ride,249
2016-06-19,24.72,118.9,33.26,202.9,Ride,96
2016-06-18,24.01,123.8,55.5,624.7,Ride,157
2016-06-15,27.38,153.4,47.07,560.7,Ride,111
2016-06-13,7.98,0.0,13.7,729.9,Run,114
2016-06-12,9.78,0.0,17.12,176.2,Run,159
2016-06-11,22.17,136.2,86.8,1384.6,Ride,279
2016-06-10,27.64,169.7,80.74,830.7,Ride,184
2016-06-07,23.13,132.1,73.54,884.5,Ride,216
2016-06-05,24.09,126.6,120.2,1520.4,Ride,358
2016-06-05,25.79,122.7,28.26,124.9,Ride,68
2016-06-04,23.99,188.6,38.04,824.2,Ride,96
2016-06-03,11.14,0.0,11.71,0.0,Run,91
2016-06-02,24.48,131.0,35.62,434.6,Ride,89
2016-05-29,19.23,164.6,42.37,1317.6,Ride,208
2016-05-29,26.76,118.9,28.78,95.0,Ride,65
2016-05-28,24.57,161.3,55.4,813.4,Ride,147
2016-05-28,23.17,82.0,10.36,33.0,Ride,36
2016-05-27,22.97,131.2,70.3,1031.3,Ride,224
2016-05-26,24.54,111.5,26.68,310.4,Ride,65
2016-05-25,10.37,0.0,9.03,75.2,Run,60
2016-05-22,26.74,182.8,60.4,930.5,Ride,170
2016-05-21,23.01,158.9,62.9,1019.9,Ride,202
2016-05-20,28.05,154.6,45.45,465.0,Ride,100
2016-05-16,23.21,122.3,102.42,1502.9,Ride,288
2016-05-15,21.16,124.5,85.48,1530.4,Ride,273
2016-05-14,9.62,0.0,11.01,219.8,Run,80
2016-05-13,23.49,100.7,16.34,166.4,Ride,41
2016-05-11,25.15,118.3,27.39,317.3,Ride,66
2016-05-09,10.96,0.0,10.12,161.7,Run,55
2016-05-08,7.79,0.0,10.11,789.5,Run,82
2016-05-07,19.52,178.0,111.62,3205.1,Ride,426
2016-05-06,18.26,176.8,86.62,3334.1,Ride,366
2016-05-05,22.15,119.8,72.61,867.1,Ride,206
2016-05-04,23.36,101.5,40.02,432.7,Ride,104
2016-05-03,25.62,143.9,46.67,424.5,Ride,131
2016-05-02,9.86,0.0,8.31,166.2,Run,67
2016-04-30,23.16,126.4,71.54,884.6,Ride,202
2016-04-29,23.42,132.3,53.78,598.4,Ride,146
2016-04-28,9.63,0.0,7.34,25.7,Run,46
2016-04-24,24.72,110.9,84.64,711.8,Ride,219
2016-04-24,9.54,0.0,8.0,161.0,Run,51
2016-04-23,23.87,107.9,28.07,317.8,Ride,84
2016-04-22,26.34,111.6,53.15,197.1,Ride,128
2016-04-21,24.72,141.9,60.86,642.5,Ride,155
2016-04-20,23.6,113.2,22.91,269.4,Ride,69
2016-04-18,8.75,0.0,9.14,92.2,Run,64
2016-04-12,23.09,179.6,89.01,2163.2,Ride,319
2016-04-12,20.19,181.6,25.98,648.5,Ride,81
2016-04-10,23.56,154.3,46.43,840.2,Ride,192
2016-04-07,24.09,116.7,77.47,886.2,Ride,209
2016-04-04,24.54,118.0,58.73,708.8,Ride,148
2016-04-02,22.32,81.7,49.25,268.3,Ride,135
2016-03-30,22.78,83.7,63.93,343.4,Ride,182
2016-03-27,22.21,78.9,71.97,350.9,Ride,201
2016-03-26,23.57,125.1,46.3,443.8,Ride,120
2016-03-25,24.35,115.0,58.28,613.5,Ride,154
